competitor_id,name,country,country_code
sr:competitor:441576,"De la Fuente, Santiago",Argentina,ARG
sr:competitor:145122,"Martineau, Matteo",France,FRA
sr:competitor:213234,"Ozdemir, S Mert",Turkiye,TUR
sr:competitor:906831,"Vithoontien, Leo",Japan,JPN
sr:competitor:396126,"Barnat, Jiri",Czechia,CZE
sr:competitor:759758,"Sakellaridis, Dimitris",Greece,GRC
sr:competitor:230152,"Zeuch, Tom",Germany,DEU
sr:competitor:373348,"Pucinelli de Almeida, Matheus",Brazil,BRA
sr:competitor:141882,"Blancaneaux, Geoffrey",France,FRA
sr:competitor:16852,"Uzhylovskyi, Volodoymyr",Ukraine,UKR
sr:competitor:243478,"Vives Marcos, Pedro",Spain,ESP
sr:competitor:403357,"Thayne, Wally",USA,USA
sr:competitor:833418,"Del Pino, Mateo",Argentina,ARG
sr:competitor:312348,"Pankin, Semen",Neutral,
sr:competitor:403285,"Zheng, Baoluo",China,CHN
sr:competitor:341188,"Justo, Guido Ivan",Argentina,ARG
sr:competitor:212046,"de Jonge, Daniel",Netherlands,NLD
sr:competitor:93589,"Kellovsky, Dominik",Czechia,CZE
sr:competitor:233184,"Glinka, Daniil",Estonia,EST
sr:competitor:170946,"Bergs, Zizou",Belgium,BEL
sr:competitor:308834,"Schachter, Noah",USA,USA
sr:competitor:177658,"Beauge, Maxence",France,FRA
sr:competitor:978579,"Ghazouani Durand, Yanis",France,FRA
sr:competitor:256393,"Kravchenko, Georgii",Ukraine,UKR
sr:competitor:538457,"Chopra, Keshav",USA,USA
sr:competitor:652290,"Ambrogi, Luciano Emanuel",Argentina,ARG
sr:competitor:405977,"Schoolkate, Tristan",Australia,AUS
sr:competitor:668817,"Shepp, Anton",New Zealand,NZL
sr:competitor:18066,"Basic, Mirza",Bosnia & Herzegovina,BIH
sr:competitor:126402,"Denolly, Corentin",France,FRA
sr:competitor:350814,"Vankan, Marlon",Germany,DEU
sr:competitor:138712,"Oradini, Giovanni",Italy,ITA
sr:competitor:812862,"Homberg, Maximilian",Germany,DEU
sr:competitor:197678,"Tsitsipas, Petros",Greece,GRC
sr:competitor:212004,"Rodionov, Jurij",Austria,AUT
sr:competitor:51100,"Roca Batalla, Oriol",Spain,ESP
sr:competitor:686709,"Simakin, Ilia",Neutral,
sr:competitor:750283,"Isomura, Kokoro",Japan,JPN
sr:competitor:496346,"Stricker, Dominic",Switzerland,CHE
sr:competitor:228766,"Braynin, Aleksandr",Ukraine,UKR
sr:competitor:93597,"Pellegrino, Andrea",Italy,ITA
sr:competitor:121248,"Roveri Sidney, Gabriel",Brazil,BRA
sr:competitor:345060,"Kingsley, Cannon",USA,USA
sr:competitor:637610,"Overbeck, Carl Emil",Denmark,DNK
sr:competitor:108767,"Hassan, Benjamin",Lebanon,LBN
sr:competitor:604344,"Buse, Ignacio",Peru,PER
sr:competitor:88992,"Muller, Alexandre",France,FRA
sr:competitor:439480,"Pecak, Stepan",Czechia,CZE
sr:competitor:155860,"Lock, Courtney John",Zimbabwe,ZWE
sr:competitor:115239,"Kaukovalta, Patrick",Finland,FIN
sr:competitor:96239,"Durasovic, Viktor",Norway,NOR
sr:competitor:56361,"Sels, Jelle",Netherlands,NLD
sr:competitor:180446,"Wessels, Louis",Germany,DEU
sr:competitor:797282,"Dumitru, Alexandru Cristian",Romania,ROU
sr:competitor:654133,"Perego, Giulio",Italy,ITA
sr:competitor:65606,"Agamenone, Franco",Italy,ITA
sr:competitor:82579,"Uchida, Kaichi",Japan,JPN
sr:competitor:935773,"Cho, Seung Woo",Republic of Korea,KOR
sr:competitor:952887,"Aguilar Cardozo, Joaquin",Uruguay,URY
sr:competitor:681071,"Ganta, Sai Karteek Reddy",India,IND
sr:competitor:135828,"Walters, Marcus",Great Britain,GBR
sr:competitor:25726,"Gomez, Juan Sebastian",Colombia,COL
sr:competitor:350440,"Zeng, Yaojie",China,CHN
sr:competitor:668903,"Falck, Reece",New Zealand,NZL
sr:competitor:445313,"Sharma, Atharva",India,IND
sr:competitor:160104,"Vance, Jamie",USA,USA
sr:competitor:114885,"Nikles, Johan",Switzerland,CHE
sr:competitor:540211,"Burdet, Adrien",Switzerland,CHE
sr:competitor:627274,"Pel, Stijn",Netherlands,NLD
sr:competitor:244783,"Lorusso, Lorenzo",Italy,ITA
sr:competitor:210502,"Kopp, Sandro",Austria,AUT
sr:competitor:609146,"Okonkwo, Oliver",Great Britain,GBR
sr:competitor:904033,"Kumstat, Jan",Czechia,CZE
sr:competitor:256481,"Marques, Diogo",Portugal,PRT
sr:competitor:341218,"Colson, Tibo",Belgium,BEL
sr:competitor:603420,"Martin, Andres",USA,USA
sr:competitor:440160,"Moroni, Filippo",Italy,ITA
sr:competitor:844730,"Estevez, Juan",Argentina,ARG
sr:competitor:245343,"Zhu, Michael",USA,USA
sr:competitor:1027521,"de Lange, Pieter",Netherlands,NLD
sr:competitor:359608,"Maestrelli, Francesco",Italy,ITA
sr:competitor:117866,"Mukund, Sasikumar",India,IND
sr:competitor:844726,"Bozemoj, Brian",Netherlands,NLD
sr:competitor:641794,"Bouchelaghem, Cesar",France,FRA
sr:competitor:457059,"Montes-de la Torre, Inaki",Spain,ESP
sr:competitor:373852,"Zink, Tyler",USA,USA
sr:competitor:783794,"Singh, Karan (IND)",India,IND
sr:competitor:101157,"Rybakov, Alex",USA,USA
sr:competitor:65576,"Sakamoto, Pedro",Brazil,BRA
sr:competitor:251091,"Noguchi, Rio",Japan,JPN
sr:competitor:1047289,"Sciahbasi, Matteo",Italy,ITA
sr:competitor:87690,"Thompson, Jordan",Australia,AUS
sr:competitor:682911,"Faria, Jaime",Portugal,PRT
sr:competitor:310974,"De Jong, Jesper",Netherlands,NLD
sr:competitor:263917,"Draxl, Liam",Canada,CAN
sr:competitor:508496,"Wiskandt, Max",Germany,DEU
sr:competitor:412813,"Martinez, Alex",Spain,ESP
sr:competitor:614172,"Gannon, Conor",Ireland,IRL
sr:competitor:439474,"Jermar, Jan",Czechia,CZE
sr:competitor:120956,"Alcantara, Francis Casey",Philippines,PHL
sr:competitor:215492,"Cui, Jie",China,CHN
sr:competitor:255601,"Tenti, Fermin",Argentina,ARG
sr:competitor:457167,"Becroft, Isaac",New Zealand,NZL
sr:competitor:902257,"Derepasko, Timofei",Neutral,
sr:competitor:79227,"Sinclair, Colin",Northern Mariana Islands,MNP
sr:competitor:851761,"Miguel, Luis Felipe",Brazil,BRA
sr:competitor:797330,"Maksimovic, Marko",Serbia,SRB
sr:competitor:951299,"Tobon, Miguel",Colombia,COL
sr:competitor:165234,"Vasa, Eero",Finland,FIN
sr:competitor:353298,"van der Meerschen, Martin",Belgium,BEL
sr:competitor:342976,"Jones, Alex",USA,USA
sr:competitor:342978,"Jones, Miles",USA,USA
sr:competitor:100317,"Turker, Mert Naci",Turkiye,TUR
sr:competitor:258735,"Cerundolo, Juan Manuel",Argentina,ARG
sr:competitor:283349,"Suksumrarn, Thantub",Thailand,THA
sr:competitor:283451,"Rodriguez, Lorenzo Joaquin",Argentina,ARG
sr:competitor:645452,"Nesterov, Pyotr",Bulgaria,BGR
sr:competitor:518802,"Cigarran, Thiago",Argentina,ARG
sr:competitor:622876,"Vallejo, Adolfo Daniel",Paraguay,PRY
sr:competitor:498580,"Aboian, Valerio",Argentina,ARG
sr:competitor:552469,"Agafonov, Egor",Neutral,
sr:competitor:1111195,"Remondy Pagotto, Victor Hugo",Brazil,BRA
sr:competitor:72376,"Siniakova, Katerina",Czechia,CZE
sr:competitor:51387,"Townsend, Taylor",USA,USA
sr:competitor:43860,"Dabrowski, Gabriela",Canada,CAN
sr:competitor:96075,"Stefani, Luisa",Brazil,BRA
sr:competitor:41524,"Krunic, Aleksandra",Serbia,SRB
sr:competitor:69718,"Danilina, Anna",Kazakhstan,KAZ
sr:competitor:78551,"Mertens, Elise",Belgium,BEL
sr:competitor:19607,"Zhang, Shuai",China,CHN
sr:competitor:74949,"Routliffe, Erin",New Zealand,NZL
sr:competitor:153652,"Guo, Hanyu",China,CHN
sr:competitor:19202,"Errani, Sara",Italy,ITA
sr:competitor:46084,"Melichar-Martinez, Nicole",USA,USA
sr:competitor:33593,"Mladenovic, Kristina",France,FRA
sr:competitor:69208,"Paolini, Jasmine",Italy,ITA
sr:competitor:18936,"Hsieh, Su-Wei",Chinese Taipei,TPE
sr:competitor:99131,"Bucsa, Cristina",Spain,ESP
